class,title,module,diagram_svg,diagram_png,icon_svg,icon_png,recommended_placement
21,SSH keys and safe hardening,Linux,diagrams/21-ssh-keys-and-safe-hardening.svg,,icons/21-ssh-icon.svg,icons/21-ssh-icon.png,"Lesson, reading, lab, homework, and quiz: the same visual at the top."
22,Package management and safe updates,Linux,diagrams/22-package-management-and-safe-system-updates.svg,,icons/22-pkg-icon.svg,icons/22-pkg-icon.png,"Lesson, reading, lab, homework, and quiz: the same visual at the top."
23,"IP addresses, subnets, gateways, and routing",Network,diagrams/23-ip-addresses-subnets-gateways-and-routing.svg,,icons/23-route-icon.svg,icons/23-route-icon.png,"Lesson, reading, lab, homework, and quiz: the same visual at the top."
24,"DNS, DHCP, and NAT",Network,diagrams/24-dns-dhcp-and-nat.svg,,icons/24-dns-icon.svg,icons/24-dns-icon.png,"Lesson, reading, lab, homework, and quiz: the same visual at the top."
25,"Ports, protocols, and host firewalls",Network,diagrams/25-ports-protocols-and-host-firewalls.svg,,icons/25-port-icon.svg,icons/25-port-icon.png,"Lesson, reading, lab, homework, and quiz: the same visual at the top."
26,Network troubleshooting,Network,diagrams/26-network-troubleshooting-tools-and-methodology.svg,,icons/26-diag-icon.svg,icons/26-diag-icon.png,"Lesson, reading, lab, homework, and quiz: the same visual at the top."
27,Docker Engine and the daemon,Docker,diagrams/27-docker-engine-installation-and-daemon-fundamentals.svg,,icons/27-eng-icon.svg,icons/27-eng-icon.png,"Lesson, reading, lab, homework, and quiz: the same visual at the top."
28,"Images, tags, registries, and provenance",Docker,diagrams/28-docker-images-tags-registries-and-provenance.svg,,icons/28-img-icon.svg,icons/28-img-icon.png,"Lesson, reading, lab, homework, and quiz: the same visual at the top."
29,Container lifecycle and resource controls,Docker,diagrams/29-container-lifecycle-and-resource-controls.svg,,icons/29-life-icon.svg,icons/29-life-icon.png,"Lesson, reading, lab, homework, and quiz: the same visual at the top."
30,Docker volumes and bind mounts,Docker,diagrams/30-docker-volumes-and-bind-mounts.svg,,icons/30-vol-icon.svg,icons/30-vol-icon.png,"Lesson, reading, lab, homework, and quiz: the same visual at the top."
31,"Disks, partitions, and filesystems",Docker,diagrams/31-linux-disks-partitions-and-filesystems.svg,,icons/31-disk-icon.svg,icons/31-disk-icon.png,"Lesson, reading, lab, homework, and quiz: the same visual at the top."
32,"Mounts, UUIDs, and fstab",Docker,diagrams/32-mounts-uuids-and-fstab.svg,,icons/32-uuid-icon.svg,icons/32-uuid-icon.png,"Lesson, reading, lab, homework, and quiz: the same visual at the top."
33,"PUID, PGID, ACLs, and file access",Docker,diagrams/33-puid-pgid-acls-and-container-file-access.svg,,icons/33-acl-icon.svg,icons/33-acl-icon.png,"Lesson, reading, lab, homework, and quiz: the same visual at the top."
34,ARR stack data architecture,ARR data,diagrams/34-arr-stack-data-architecture.svg,,icons/34-data-icon.svg,,"Lesson, reading, lab, homework, and quiz: the same visual at the top."
35,"Hardlinks, atomic moves, and import",ARR data,diagrams/35-hardlinks-atomic-moves-and-import.svg,,icons/35-link-icon.svg,,"Lesson, reading, lab, homework, and quiz: the same visual at the top."
36,Docker Compose fundamentals,ARR data,diagrams/36-docker-compose-fundamentals.svg,,icons/36-yaml-icon.svg,,"Lesson, reading, lab, homework, and quiz: the same visual at the top."
37,"Health checks, dependencies, and restarts",ARR data,diagrams/37-health-checks-dependencies-and-restarts.svg,,icons/37-hlth-icon.svg,,"Lesson, reading, lab, homework, and quiz: the same visual at the top."
38,"Environment variables, secrets, and configuration",ARR data,diagrams/38-environment-variables-secrets-and-configuration.svg,,icons/38-env-icon.svg,,"Lesson, reading, lab, homework, and quiz: the same visual at the top."
39,Configuration backups and recovery,ARR data,diagrams/39-configuration-backups-and-recovery.svg,,icons/39-bak-icon.svg,,"Lesson, reading, lab, homework, and quiz: the same visual at the top."
40,Sonarr installation and first configuration,Sonarr,diagrams/40-sonarr-installation-and-first-configuration.svg,,icons/40-tv-icon.svg,,"Lesson, reading, lab, homework, and quiz: the same visual at the top."
41,Sonarr series monitoring and availability,Sonarr,diagrams/41-sonarr-series-monitoring-and-availability.svg,,icons/41-mon-icon.svg,,"Lesson, reading, lab, homework, and quiz: the same visual at the top."
42,"Sonarr quality profiles, search, and import",Sonarr,diagrams/42-sonarr-quality-profiles-search-and-import.svg,,icons/42-prof-icon.svg,,"Lesson, reading, lab, homework, and quiz: the same visual at the top."
43,Sonarr naming and library hygiene,Sonarr,diagrams/43-sonarr-naming-and-library-hygiene.svg,,icons/43-name-icon.svg,,"Lesson, reading, lab, homework, and quiz: the same visual at the top."
44,"Anime, absolute numbering, and multi-episode files",Sonarr,diagrams/44-anime-absolute-numbering-and-multi-episode-files.svg,,icons/44-abs-icon.svg,,"Lesson, reading, lab, homework, and quiz: the same visual at the top."
45,Radarr installation and first configuration,Radarr,diagrams/45-radarr-installation-and-first-configuration.svg,,icons/45-film-icon.svg,,"Lesson, reading, lab, homework, and quiz: the same visual at the top."
46,Radarr monitoring and availability,Radarr,diagrams/46-radarr-monitoring-and-availability.svg,,icons/46-rad-icon.svg,,"Lesson, reading, lab, homework, and quiz: the same visual at the top."
47,"Radarr quality profiles, search, and import",Radarr,diagrams/47-radarr-quality-profiles-search-and-import.svg,,icons/47-qp-icon.svg,,"Lesson, reading, lab, homework, and quiz: the same visual at the top."
48,Radarr naming and movie library hygiene,Radarr,diagrams/48-radarr-naming-and-movie-library-hygiene.svg,,icons/48-lib-icon.svg,,"Lesson, reading, lab, homework, and quiz: the same visual at the top."
49,qBittorrent installation and safe configuration,Downloaders,diagrams/49-qbittorrent-installation-and-safe-configuration.svg,,icons/49-qbit-icon.svg,,"Lesson, reading, lab, homework, and quiz: the same visual at the top."
50,"Download categories, paths, and ARR",Downloaders,diagrams/50-download-categories-paths-and-arr.svg,,icons/50-path-icon.svg,,"Lesson, reading, lab, homework, and quiz: the same visual at the top."
51,"VPN binding, kill switches, and leak checks",Downloaders,diagrams/51-vpn-binding-kill-switches-and-leak-checks.svg,,icons/51-vpn-icon.svg,,"Lesson, reading, lab, homework, and quiz: the same visual at the top."
52,SABnzbd and Usenet downloading,Downloaders,diagrams/52-sabnzbd-and-usenet-downloading.svg,,icons/52-nzb-icon.svg,,"Lesson, reading, lab, homework, and quiz: the same visual at the top."
53,"Indexers, trackers, and Usenet providers",Downloaders,diagrams/53-indexers-trackers-and-usenet-providers.svg,,icons/53-feed-icon.svg,,"Lesson, reading, lab, homework, and quiz: the same visual at the top."
54,Prowlarr installation and indexer management,Downloaders,diagrams/54-prowlarr-installation-and-indexer-management.svg,,icons/54-prl-icon.svg,,"Lesson, reading, lab, homework, and quiz: the same visual at the top."
55,Connecting Prowlarr to Sonarr and Radarr,Downloaders,diagrams/55-connecting-prowlarr-to-sonarr-and-radarr.svg,,icons/55-sync-icon.svg,,"Lesson, reading, lab, homework, and quiz: the same visual at the top."
56,Jellyseerr or Overseerr requests,Media,diagrams/56-jellyseerr-or-overseerr-requests.svg,,icons/56-ask-icon.svg,,"Lesson, reading, lab, homework, and quiz: the same visual at the top."
57,Plex installation and library design,Media,diagrams/57-plex-installation-and-library-design.svg,,icons/57-plex-icon.svg,,"Lesson, reading, lab, homework, and quiz: the same visual at the top."
